attraction,attraction_type,address,lat,lon,Description
Holiday Inn Express Simi Valley,Hotel,"2550 Erringer Rd, Simi Valley, CA 93065",34.281019,-118.760723,Guest Hotel Option
Best Western Posada Royale Hotel & Suites,Hotel,"1775 Madera Rd, Simi Valley, CA 93065",34.269492,-118.797191,Guest Hotel Option (shuttle provided)
